filename,tempo,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,chroma1,chroma2,chroma3,chroma4,chroma5,chroma6,chroma7,chroma8,chroma9,chroma10,chroma11,chroma12
Aaju_Mithila_Nagariya_Nihal_Sakhiya_aug0.wav,[95.33898305],-172.81027,139.20596,-33.115154,31.015472,-8.111645,22.568539,-11.2977495,10.379844,-4.2928214,0.63132054,-4.744591,4.2716174,3.0175638,0.3042989,0.4224674,0.30744845,0.2572612,0.317497,0.42972404,0.6764648,0.50853354,0.34687474,0.2907843,0.35826206,0.30153102
Aaju_Mithila_Nagariya_Nihal_Sakhiya_aug1.wav,[90.72580645],-151.32199,133.80971,-31.775013,29.78407,-4.5517797,19.958452,-12.228897,11.471126,-8.80235,2.0705225,-3.9096124,8.818075,-2.6989892,0.35704526,0.2959386,0.2897299,0.40952075,0.29205108,0.27072087,0.34772465,0.46496123,0.70631635,0.5081162,0.34493414,0.28983337
Aaju_Mithila_Nagariya_Nihal_Sakhiya_aug10.wav,[83.95522388],-149.98538,147.5075,-35.212017,32.662144,-7.603142,23.659815,-11.278872,10.696892,-4.049472,0.38743916,-4.7949896,4.2210636,3.4930692,0.31879088,0.44536188,0.31939408,0.26766518,0.3332265,0.45159894,0.7168137,0.5347316,0.3630362,0.30324924,0.37757504,0.31739864
Aaju_Mithila_Nagariya_Nihal_Sakhiya_aug11.wav,[90.72580645],-123.07186,113.99758,-9.856202,13.485658,6.325285,11.391115,-1.7426696,3.0824375,1.1697339,-3.300479,-2.3703074,2.9950318,3.6436903,0.33370456,0.45863187,0.3378079,0.28552043,0.34951285,0.46655875,0.72476745,0.5482308,0.37903082,0.31987515,0.39091498,0.3312823
Aaju_Mithila_Nagariya_Nihal_Sakhiya_aug12.wav,[90.72580645],-151.33083,145.98468,-34.843998,32.363495,-8.348596,23.502337,-11.683001,10.708015,-4.3743587,0.46463642,-4.8656006,4.306387,3.28886,0.32029054,0.44542494,0.32477558,0.27178988,0.33553296,0.4529466,0.7130146,0.5375695,0.3668385,0.3069552,0.37788057,0.3180679
Aaju_Mithila_Nagariya_Nihal_Sakhiya_aug13.wav,[104.16666667],-208.57536,125.393845,-29.657413,27.701956,-7.1020026,20.383007,-9.949261,9.344938,-3.7597194,0.5432644,-4.2782044,3.8525481,2.6490657,0.27650154,0.38328183,0.27667525,0.231595,0.28601557,0.3884331,0.6124509,0.45669577,0.31026405,0.26167563,0.32512084,0.27328974
Aaju_Mithila_Nagariya_Nihal_Sakhiya_aug14.wav,[90.72580645],-153.30063,145.41718,-34.583576,32.278225,-8.1271715,23.229195,-11.881931,11.05353,-4.760413,0.8645079,-4.52369,5.0785336,2.8245971,0.32928818,0.43948823,0.31330928,0.27415147,0.34203687,0.47247955,0.7134536,0.5113071,0.35213104,0.30835062,0.38149458,0.3178707
Aaju_Mithila_Nagariya_Nihal_Sakhiya_aug15.wav,[90.72580645],-158.5354,151.44038,-36.144764,33.814285,-9.573808,24.448914,-10.129221,9.394122,-1.66177,-0.4726041,-3.9330335,1.0503592,5.42354,0.45485944,0.33483505,0.28517222,0.3522235,0.4715181,0.7024323,0.54339904,0.3738188,0.30974504,0.37254968,0.31843138,0.32651868
Aaju_Mithila_Nagariya_Nihal_Sakhiya_aug16.wav,[98.68421053],-184.03235,134.54556,-31.765074,29.758265,-7.582866,21.718307,-10.694374,9.935674,-3.994084,0.5223749,-4.516606,4.086762,2.9312317,0.29441074,0.41000307,0.29895398,0.2487192,0.30666915,0.414633,0.6553423,0.49451336,0.336488,0.2815865,0.34746715,0.29300365
Aaju_Mithila_Nagariya_Nihal_Sakhiya_aug17.wav,[90.72580645],-151.30936,145.97151,-34.824333,32.35864,-8.338566,23.497269,-11.675788,10.700123,-4.372409,0.4614581,-4.8649807,4.306872,3.288449,0.3201748,0.44536904,0.324825,0.27184647,0.33558708,0.45286638,0.71286917,0.53744525,0.36681995,0.30691558,0.3776987,0.3179768
